query_label,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,p_value_bh
primary_188vs4114,GO:BP,GO:1901293,nucleoside phosphate biosynthetic process,0.033150496390444165,True,"""The chemical reactions and pathways resulting in the formation of a nucleoside phosphate."" [GOC:TermGenie]",76,183,15,4167,0.08196721311475409,0.19736842105263158,query_1,"['GO:0006753', 'GO:0034654', 'GO:0090407']","['HAAO', 'AK5', 'CBR4', 'ACOT7', 'GCDH', 'NOS3', 'UPRT', 'UMPS', 'PANK2', 'DUT', 'FLAD1', 'NADK2', 'UXS1', 'MLYCD', 'AMPD3']","[['IMP', 'IBA', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IDA'], ['IBA', 'IEA'], ['IMP'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'IEA']]",0.04066164009982825
primary_188vs4114,GO:BP,GO:0006753,nucleoside phosphate metabolic process,0.04066164009982825,True,"""The chemical reactions and pathways involving any phosphorylated nucleoside."" [GOC:mah]",169,183,23,4167,0.12568306010928962,0.13609467455621302,query_1,"['GO:0006796', 'GO:0019637', 'GO:0055086']","['ACOT12', 'OGG1', 'ACSM1', 'EPHA2', 'HAAO', 'AK5', 'CBR4', 'ACOT7', 'GCDH', 'PDE9A', 'MFN1', 'NOS3', 'UPRT', 'UMPS', 'PANK2', 'B4GALNT2', 'DUT', 'FLAD1', 'NADK2', 'NT5C1B', 'UXS1', 'MLYCD', 'AMPD3']","[['ISS', 'IBA', 'IEA'], ['TAS'], ['IBA'], ['IMP'], ['IMP', 'IBA', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IDA', 'IBA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA'], ['IMP'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA']]",0.04066164009982825
